REF_DATE,GEO,DGUID,Value and volume,Imports and exports,Type of beverage,VALUE
2003,Japan,,Volume in litres,Exports,Spirits,3245
2003,Mexico,,Volume in litres,Imports,Spirits,
2003,Mexico,,Volume in litres,Imports,Beer,45154
2003,Netherlands,,Volume in litres,Imports,Beer,44410
2003,South Africa,,Volume in litres,Exports,Spirits,
2003,Spain,,Volume in litres,Imports,Wines,
2003,Sweden,,Volume in litres,Exports,Spirits,532
2003,Taiwan,,Volume in litres,Exports,Wines,514
2003,Thailand,,Volume in litres,Exports,Spirits,
2003,United Kingdom,,Volume in litres,Imports,Spirits,5590
2003,United Kingdom,,Volume in litres,Imports,Beer,13202
2003,United Kingdom,,Volume in litres,Exports,Spirits,514
2003,United States,,Volume in litres,Imports,Spirits,9979
2003,United States,,Volume in litres,Imports,Wines,31837
2003,United States,,Volume in litres,Imports,Beer,46942
2003,United States,,Volume in litres,Exports,Spirits,56064
2003,United States,,Volume in litres,Exports,Wines,35798
2003,United States,,Volume in litres,Exports,Beer,394746
2003,Other countries,,Volume in litres,Imports,Spirits,11559
2003,Other countries,,Volume in litres,Imports,Wines,28336
2003,Other countries,,Volume in litres,Imports,Beer,40793
2003,Other countries,,Volume in litres,Exports,Spirits,4356
2003,Other countries,,Volume in litres,Exports,Wines,1911
2004,Canada,,Volume in litres,Imports,Spirits,33148
2004,Canada,,Volume in litres,Imports,Wines,284979
2004,Canada,,Volume in litres,Imports,Beer,219847
2004,Canada,,Volume in litres,Exports,Spirits,66703
2004,Canada,,Volume in litres,Exports,Wines,19440
2004,Canada,,Volume in litres,Exports,Beer,391127
2004,Australia,,Volume in litres,Imports,Wines,33134
2004,Belgium,,Volume in litres,Exports,Spirits,
2004,Brazil,,Volume in litres,Imports,Spirits,
2004,Chile,,Volume in litres,Imports,Wines,29765
2004,France,,Volume in litres,Imports,Spirits,1679
2004,France,,Volume in litres,Imports,Wines,73957
2004,France,,Volume in litres,Exports,Spirits,
2004,Germany,,Volume in litres,Imports,Wines,6079
2004,Germany,,Volume in litres,Imports,Beer,17078
2004,Guyana,,Volume in litres,Imports,Spirits,
2004,Ireland,,Volume in litres,Imports,Spirits,459
2004,Ireland,,Volume in litres,Imports,Beer,
2004,Italy,,Volume in litres,Imports,Wines,53378
2004,Jamaica,,Volume in litres,Imports,Spirits,1840
2004,Japan,,Volume in litres,Exports,Spirits,714
2004,Mexico,,Volume in litres,Imports,Spirits,
2004,Mexico,,Volume in litres,Imports,Beer,43638
2004,Netherlands,,Volume in litres,Imports,Beer,45320
2004,South Africa,,Volume in litres,Exports,Spirits,
2004,Spain,,Volume in litres,Imports,Wines,
2004,Sweden,,Volume in litres,Exports,Spirits,356
2004,Taiwan,,Volume in litres,Exports,Wines,917
2004,Thailand,,Volume in litres,Exports,Spirits,
2004,United Kingdom,,Volume in litres,Imports,Spirits,7130
2004,United Kingdom,,Volume in litres,Imports,Beer,15356
2004,United Kingdom,,Volume in litres,Exports,Spirits,376
2004,United States,,Volume in litres,Imports,Spirits,10369
2004,United States,,Volume in litres,Imports,Wines,44900
2004,United States,,Volume in litres,Imports,Beer,47195
2004,United States,,Volume in litres,Exports,Spirits,61950
2004,United States,,Volume in litres,Exports,Wines,16586
2004,United States,,Volume in litres,Exports,Beer,391127
2004,Other countries,,Volume in litres,Imports,Spirits,11671
2004,Other countries,,Volume in litres,Imports,Wines,43766
2004,Other countries,,Volume in litres,Imports,Beer,51260
2004,Other countries,,Volume in litres,Exports,Spirits,3307
2004,Other countries,,Volume in litres,Exports,Wines,1937
2005,Canada,,Volume in litres,Imports,Spirits,34180
2005,Canada,,Volume in litres,Imports,Wines,261147
2005,Canada,,Volume in litres,Imports,Beer,232100
2005,Canada,,Volume in litres,Exports,Spirits,74395
2005,Canada,,Volume in litres,Exports,Wines,12958
2005,Canada,,Volume in litres,Exports,Beer,354906
2005,Australia,,Volume in litres,Imports,Wines,40466
2005,Belgium,,Volume in litres,Exports,Spirits,767
2005,Brazil,,Volume in litres,Imports,Spirits,
2005,Chile,,Volume in litres,Imports,Wines,30050
2005,France,,Volume in litres,Imports,Spirits,1778
2005,France,,Volume in litres,Imports,Wines,58933
2005,France,,Volume in litres,Exports,Spirits,86
2005,Germany,,Volume in litres,Imports,Wines,5634
2005,Germany,,Volume in litres,Imports,Beer,17043
2005,Guyana,,Volume in litres,Imports,Spirits,1746
2005,Ireland,,Volume in litres,Imports,Spirits,256
